repository,commit_time,author,isOwner
linux,2018-02-28T07:46:00Z,Takashi Iwai,False
linux,2018-02-28T07:36:06Z,Takashi Iwai,False
linux,2018-02-27T17:01:18Z,Richard Fitzgerald,False
linux,2018-02-28T01:39:52Z,Dave Airlie,False
linux,2018-02-24T14:15:22Z,Stefan Wahren,False
linux,2018-02-24T14:15:21Z,Stefan Wahren,False
linux,2018-02-27T01:00:35Z,Florian Fainelli,False
linux,2018-02-27T22:02:39Z,Linus Torvalds,False
linux,2018-02-27T18:39:29Z,James Morris,False
linux,2018-02-27T17:48:43Z,Linus Torvalds,False
linux,2018-02-26T14:44:20Z,Petr Mladek,False
linux,2018-02-13T06:08:14Z,Chen-Yu Tsai,False
linux,2018-02-21T08:11:00Z,Maxime Ripard,False
linux,2018-02-21T01:50:03Z,Dave Airlie,False
linux,2018-02-08T20:28:08Z,Jeremy Boone,False
linux,2018-02-08T20:29:09Z,Jeremy Boone,False
linux,2018-02-08T20:30:01Z,Jeremy Boone,False
linux,2018-02-08T20:31:16Z,Jeremy Boone,False
linux,2018-02-08T20:32:06Z,Jeremy Boone,False
linux,2018-02-13T17:48:29Z,Shuah Khan,False
linux,2018-02-13T17:45:57Z,Shuah Khan,False
linux,2018-02-07T17:24:31Z,Daniel Díaz,False
linux,2018-02-26T21:22:45Z,Linus Torvalds,False
linux,2018-02-25T13:08:14Z,Linus Walleij,False
linux,2018-02-26T20:38:58Z,Arnd Bergmann,False
linux,2018-02-26T19:39:30Z,Matthew Wilcox,False
linux,2018-02-26T18:19:15Z,Linus Torvalds,False
linux,2018-02-25T20:17:31Z,Chengguang Xu,False
linux,2018-02-26T17:34:21Z,Linus Torvalds,False
linux,2018-02-26T17:28:35Z,Linus Torvalds,False
repository,commit_time,author,isOwner
linux,2018-02-28T07:46:00Z,Takashi Iwai,False
linux,2018-02-28T07:36:06Z,Takashi Iwai,False
linux,2018-02-27T17:01:18Z,Richard Fitzgerald,False
linux,2018-02-28T01:39:52Z,Dave Airlie,False
linux,2018-02-24T14:15:22Z,Stefan Wahren,False
linux,2018-02-24T14:15:21Z,Stefan Wahren,False
linux,2018-02-27T01:00:35Z,Florian Fainelli,False
linux,2018-02-27T22:02:39Z,Linus Torvalds,False
linux,2018-02-27T18:39:29Z,James Morris,False
